fdcNumber	conceptId	Keytype	indexTerm-en	indexTerm-de	indexTerm-sv	indexTerm-fi	indexTerm-fr	indexTerm-sl	indexTerm-sp	Match	agrovocConcept	scopeNote	fi-new-term	seÄven	USE-se	RT-se	v2016-se	altLabel-en	altLabel-de	altLabel-sv	altLabel-fi	altLabel-fr	altLabel-sl	altLabel-sp	hiddenLabel-en	hiddenLabel-de	hiddenLabel-sv	hiddenLabel-fi	hiddenLabel-fr	hiddenLabel-sl	hiddenLabel-sp
111.21	27	exactMatch	radiation	Strahlung	strålning	säteily	radiation		irradiación 		c_6422																				
111.211	28	closeMatch	light	Licht	ljus	valo	lumière		luz 		c_4322																				
111.211	29	exactMatch	solar radiation 	Sonnenstrahlung	solstrålning	auringonsäteily	solaire		irradiación solar 		c_3892							insolation	Sonneneinstrahlung	solsken	auringonvalo	insolation		insolación 							
111.212	30	exactMatch	terrestrial radiation	Iridische Strahlung	terrester strålning	maaperän säteily	terrestre		irradiación terrestre																						
111.213	31	closeMatch	absorption in the atmosphere (radiation)	Absorption (Strahlung)	absorption i atmosfären (strålning)	absorptio ilmakehässä (säteily)			absorción en la atmósfera (irradiación)		c_33924 							absorbance													
111.213	32	closeMatch	scattering in the atmosphere  (radiation)	Streuung (Strahlung)	spridning i atmosfären  (strålning)	sironta ilmakehässä (säteily)	diffusion atmosphérique (radiacion)		difusión en la atmósfera (irradiación)																						
111.213	33	closeMatch	transmission in the atmosphere  (radiation)	Transmission (Strahlung)	transmission i atmosfären  (strålning)	transmissio ilmakehässä (säteily)			transmisión en la atmósfera (irradiación)																						
111.216	34	exactMatch	radiation of particular wavelengths	Strahlung bestimmter Wellenlängen	strålning, av bestämda våglängder	säteily tietyillä taajuksilla	radiations de longueurs d'onde particulières		irradiación de determinadas longitudes de onda 																						
111.219	35	closeMatch	earth rays	Erdstrahlen	jordstrålning	maasäteily	radiesthésie		radiación terrestre									terrestrial radiation		terrester strålning				radiaciones telúricas 							
111.24	36	exactMatch	air temperature	Lufttemperatur	lufttemperatur	ilman lämpötila	température de l'air		temperatura del aire 		c_230							atmospheric temperature													
111.24	37	closeMatch	frost	Frost	frost	pakkanen	gel		heladas  		c_3113 			se även				winter frost	Winterfrost	vinterfrost	talvipakkanen	gel d'hiver									
111.24	38	closeMatch	heat (air temperature)	Hitze	värme	lämpö	chaleur		calor		c_3519																				
111.4	39	exactMatch	atmospheric pressure	Luftdruck	lufttryck	ilmanpaine	pression atmosphérique		presión atmosférica 		c_693							air pressure;barometric pressure 	Barometerdruck			Pression barométrique		presión del aire							
111.5	40	exactMatch	wind	Wind	vind	tuuli	vents		viento  		c_8401						v2016			luftströmmar	ilmavirtaukset										
111.71	41	exactMatch	humidity	Feuchtigkeit	humiditet (atmosfär)	kosteus (ilmakehä)	humidité		humedad (atmósfera)		c_3689	"Hydrologie: siehe 116"@de ; "For soil humidity use: 116"@en						atmospheric humidity													
111.73	42	exactMatch	evaporation	Verdunstung	evaporation	haihdunta	évaporation		evaporación 		c_2739 																				
111.74	43	closeMatch	condensation (atmosphere)	Kondensation (in der Atmosphäre)	kondensation (atmosfär)	kondensaatio (ilmakehä)	condensation atmosphérique		condensación atmosférica		c_36228																				
111.74	44	closeMatch	atmospheric deposition	Atmosphärische Deposition	avsättning från atmosfären	laskeuma ilmakehästä	Dépot atmosphérique		depósitos atmosféricos 		c_36094																				
111.744	45	closeMatch	atmospheric condensation on earth's surface	Atmosphärische  Kondensation an der Erdoberfläche	kondensation, på jordytan	kondensaatio ilmakehästä maan pinnalle	condensations a la surface du sol		condensación atmosférica sobre la superficie de la tierra 			liquid deposits from atmosphere on earth's surface@en|Flüssig Ablagerungen aus der Atmosphäre an der Erdoberfläche@de|flytande avsättning från atmosfären på jordytan@sv|nestemäinen laskeuma ilmakehästä maan pinnalla@fi|líquida condensación atmosférica sobre la superficie de la tierra @sp																			
111.744	46	closeMatch	atmospheric deposition on earth's surface	Atmosphärische Deposition  an der Erdoberfläche	avsättning från atmosfären på jordytan	laskeuma ilmakehästä maan pinnalla	Dépot atmosphérique a la surface du sol		depósitos atmosféricos sobre la superficie de la tierra 			deposits from atmosphere: on earth's surface (solid)@en|Ablagerungen aus der Atmosphäre: an der Erdoberfläche (fest)@de|avsättning från atmosfären på jordytan (fast)@sv|laskeuma maan pinnalla (kiinteä)@fi|depósitos atmosféricos sobre la superficie de la tierra (sólido)																			
111.744.1	47	exactMatch	dew	Tau	dagg	kaste	rosée		rocío 		c_2231																				
111.744.2	48	closeMatch	glazed ice	Glatteis	glattis	iljanne	verglas		hielo glazeado																						
111.744.2	49	closeMatch	black ice	Schwarzeis	svartis	musta jää	glace noire		hielo negro			depósitos atmosféricos sobre la superficie de la tierra (líquido (rocío))@sp																			
111.744.2	50	closeMatch	hoar-frost	Reif	isbark	kuura	gelée blanche 		 helada blanca																						
111.744.2	51	closeMatch	ice storm	Ice storm	isstorm	jäämyrsky	tempête de verglas		tormenta de nieve																						
111.744.2	52	closeMatch	rime	Rime 	rimfrost	huurre	givre		escarcha																						
111.747	51	exactMatch	condensation on objects in upper atmosphere	Kondensation im Freier Atmosphäre	kondensation i fria atmosfären	kondensaatio yläilmakehässä	condensations (haute atmosphère)		condensación en atmósfera superior			deposits from atmosphere on objects in upper atmosphere@en|Ablagerungen aus der Atmosphäre in der freien Atmosphäre (Klima)@de|avsättning från atmosfären på föremål i den fria atmosfären@de|kondesaatio esineiden päälle vapaassa ilmassa@fi|condensación atmosférica sobre partículas en las zonas altas de la atmósfera@sp						deposits from atmosphere on objects in upper atmosphere	Ablagerungen aus der Atmosphäre in der freien Atmosphäre (Klima)	avsättning från atmosfären på föremål i den fria atmosfären	kondesaatio esineiden päälle vapaassa ilmassa										
111.75	54	closeMatch	fog	Nebel	dimma	sumu	brouillard		niebla 		c_3007																				
111.75	55	closeMatch	mist (meteorology)	Dunst	dis	utu	brume		bruma  																						
111.76	56	exactMatch	clouds	Wolken	moln	pilvet	nuages		nubes 		c_1681																				
111.77	57	exactMatch	precipitation	Niederschlag	nederbörd	sade	précipitation		precipitaciones  		c_6161 																				
111.771	58	closeMatch	precipitation (classification)	Niederschlag: Klassifikation	nederbörd, klassifikation	sade, luokittelu			precipitaciones, clasificación 																						
111.771	59	closeMatch	precipitation (formation and dissolution)	Niederschlag: Bildung und Auflösung	nederbörd, bildning och utlösning	sade, muoto ja liukeneminen			precipitaciones, formación y precipitación 																						
111.771	60	closeMatch	precipitation (structure)	Niederschlag: Struktur	nederbörd, struktur	sade, rakenne			precipitaciones, estructura  																						
111.772	61	exactMatch	precipitation, distribution at earth's surface	Niederschlag: Verteilung an der Erdoberfläche	nederbörd, fördelning på jordytan	sade, jakauma maan pinnalla			precipitaciones, distribución en la superficie de la tierra 																						
111.773	62	closeMatch	drought	Dürre	torka	kuivuus	aridité		sequía 		c_2391																				
111.773	63	exactMatch	precipitation (variation) 	Schwankungen im Niederschlag 	växlingar i nederbörd	sateen vaihtelu			variaciones en la precipitación																						
111.781	64	closeMatch	drizzle	Sprühregen	duggregn	tihkusade	bruine		llovizna 																						
111.781	65	closeMatch	rain	Regen	regn	vesisade	pluie		lluvia 		c_6435																				
111.783	66	exactMatch	snow mixed with rain	Regenschnee	regnblandad snö	vedensekainen lumi			lluvia, mezclada col nieve																						
111.784	67	closeMatch	congealed snowflakes	Erstarrte Schneeflocken	stelnade snöflingor	jähmettyneet lumihiutaleet			nieve helada 																						
111.784	68	closeMatch	granular snow	Schneegriesel	komsnö	lumijyväset	neige en grains		nieve, granulada 																						
111.784	69	closeMatch	ice needles (form of precipitation)	Eisnadeln (Regen)	isnålar (regn)	jääneulaset (sade)			agujas de hielo (forma de precipitación) 																						
111.784	70	closeMatch	sleet	Schlossen	trindsnö	räntäsade	neige fondue		cellisca 		c_14332							rain: mixed with snow	Regen: gemischt mit Schnee	regn, snöblandat											
111.784	71	closeMatch	snow	Schnee	snö	lumi	neige		nieve 		c_7124									snö, trindsnö											
111.784	72	closeMatch	soft hail	Graupeln	snöhagel	lumirae			granos de hielo																						
111.784	73	closeMatch	freezing rain	Eisregen	frysande regn	jäätävä sade	pluie verglaçante		lluvia gélida									supercooled rain	underkühlter Regen	underkylt regn	alijäähtynyt sade	eau surfondue		lluvia superenfriada;lluvia engelante							
111.787	74	exactMatch	hail	Hagel	hagel	rakeet	grêle		granizo		c_3469													pedrisco							
111.8	75	exactMatch	climatology	Klimatologie	klimatologi	klimatologia	climatologie		climatología		c_1671										ilmastotiede										
111.81	76	closeMatch	climatic zones	Klimazonen	klimatzoner	ilmastovyöhykkeet	zones climatiques		zonas climáticas		c_1669							zones (climatic)			vyöhykkeet (ilmasto)				latitude: influence on climate	Geographische Breite: Einfluß auf das Klima	latitud, inverkan på klimatet	leveysasteen vaikutus ilmastoon			latitud, influencia  en el clima 
111.81	77	closeMatch	solar climate	Solarklima	strålningsklimat	auringonsäteily	influence solaire		clima solar																						
111.82	78	closeMatch	climate (regional)	Klima (Gebiete)	klimat (inom speciella områden)	ilmasto (alueellinen)	Climats régionaux		clima regional																						
111.83	79	closeMatch	climate changes	Klimaänderungen	klimatförändringar	ilmastonmuutokset	changements climatiques		cambios climáticos		c_1666								Klimawandel;Klimaveränderung			Changement climatique									
111.83	80	closeMatch	global warming	Klimaerwärmung	global uppvärmning 	ilmaston lämpeneminen	réchauffement climatique		el calentamiento global		c_34836	OR 111.83																			
111.83	81	closeMatch	greenhouse effect	Treibhauseffekt	växthuseffekt	kasvihuoneilmiö	effet de serre		efecto invernadero		c_15585																				
111.83	82	closeMatch	palaeoclimatology	Paläoklimatologie	paleoklimatologi	paleoklimatologia	paléoclimatologie		paleoclimatología 		c_5508																				
111.84	83	closeMatch	microclimate	Mikroklima	mikroklimat	mikroilmasto	microclimat		microclima		c_4802																				
111.84	84	closeMatch	microclimatology	Mikroklimatologie	mikroklimatologi	mikroklimatologia	microclimatologie		microclimatología																						
111.85	85	ecactMatch	climate types	Klimatypen	klimattyper	ilmastotyypit			tipos de clima																						
111.86	86	closeMatch	bioclimatology	Bioklimatologie	bioklimatologi	bioklimatologia	bioclimatologie		bioclimatología 																						
111.86	87	closeMatch	biometeorology	Biometeorologie	biometeorologi	biometeorologia	biometeorologie		biometeorología																						
111.87	88	exactMatch	climate (upper atmosphere)	Klima (freie Atmosphäre)	klimat (högre luftlagers atmosfär)	yläilmakehän ilmasto			clima de las zonas altas de la atmósfera																Climate; climatology: of upper atmosphere	Klima, Klimatologie: der freien Atmosphäre	klimat, klimatologi, högre luftlagers klimat				
111.88	89	exactMatch	climate (influence of the environment)	Klima (Einfluß der Umgebung)	klimat (omgivningens inflytande)	ilmasto (ympäristön vaikutus)			clima (influencia del medio)																						
111.902	90	exactMatch	cosmic influences (atmosphere)	Kosmische Einflüsse	kosmiska inflytanden	kosmiset tekijät			influencias cósmicas de la atmósfera																Atmosphere, cosmic influences	Atmosphäre: kosmische Einflüsse	atmosfär, kosmiska inflytanden				
111.91	91	exactMatch	visibility (atmosphere)	Sichtweite	siktförhållanden	näkyvyys	visibilité		visibilidad 		c_8265																				
111.93	92	closeMatch	mirage	Luftspiegelung	hägring	kangastus	mirage	mirage	espejismo																						
111.93	93	exactMatch	optical phenomena (atmosphere)	Optische Erscheinungen, atmosphärische	optiska företeelser i atmosfären	optiset ilmiöt ilmakehässä			fenómenos ópticos en la atmósfera																	Atmosphäre: optische Erscheinungen	atmosfär, optiska företeelser i	ilmakehä: optiset ilmiöt			
111.94	94	exactMatch	electrical phenomena (atmosphere)	Elektrische Erscheinungen in der Atmosphäre	elektriska företeelser i atmosfären	sähköiset ilmiöt ilmakehässä			fenómenos eléctricos en la  atmósfera																	Atmosphäre: elektrische Erscheinungen	atmosfär, elektriska företeelser i				
111.94	95	closeMatch	lightning	Blitz	blixt	salamat	eclair		rayos 		c_4327																				
111.96	96	exactMatch	acoustic phenomena (atmosphere)	Akustische Erscheinungen in der Atmosphäre	akustiska företeelser i atmosfären	akustiset ilmiöt ilmakehässä	phénomène acoustique (atmosphère)		fenómenos acústicos en la atmósfera																						
113	97	exactMatch	location	Lage	läge	sijainti			situación 		c_330988								Ansiedlung;Ort												
113.1	98	closeMatch	latitude	Geographische Breite	latitud	leveysaste	latitude		latitud  		c_4222 																				
113.1	99	closeMatch	longitude	Längengrade	longitud	pituusaste			longitud geográfica  																						
113.2	100	exactMatch	altitude	Höhenlage	höjd över havet	korkeus (sijainti)	altitude		altitud  		c_316																				
113.2	101	closeMatch	mountain forest	Gebirgswald	bergskog	vuoristometsä	forét de montagne		bosque de montaña			Forest located in a mountainous area (SilvaVoc 2005)																			
113.3	102	closeMatch	aspect	Exposition	exposition	kaltevuussuunta			exposición del terreno																						
113.3	103	closeMatch	gradient of slope	Hangneigung 	lutningsgrad	kaltevuuskulma	sens du plan incliné		inclinación del terreno															gradiente de inclinación							
113.3	104	closeMatch	slope	Neigung	lutning	kaltevuus (paikka)	pente		Pendiente																						
113.4	105	closeMatch	ground configuration	Geländeform	markkonfiguration	maanpinnan muoto			configuración del terreno																						
113.4	106	closeMatch	topography	Topographie	topografi	topografia	topographie		topografía 		c_7815																				
114	107	closeMatch	forest soil	Forstboden	skogsmark	metsämaa (maaperä)	sol forestière		suelos forestales																						
114	108	closeMatch	soil	Boden	mark	maaperä	sol		suelo 		c_7156																				
114	109	closeMatch	soil sciences	Bodenkunde	marklära	maatiede	sciences du sol 		ciencia del suelo		c_7188									pedologi	maaperäoppi										
114.1	110	exactMatch	soil physics	Bodenphysik	markfysik	maafysiikka	physique du sol		física del suelo		c_14400							physical properties of soil	Physikalische Eigenschaften (Boden)	fysikaliska egenskaper av mark	maaperän fysikaaliset ominaisuudet			propiedades físicas del suelo 							
114.11	111	closeMatch	soil density	Bodendichte	markens densitet	maan tiheys	densité du sol		densidad del suelo (peso/volumen)		c_7167											Densité des agrégats du sol;Densité des particules (sol);Densité apparente (sol)			density : volume/weight of soil	Dichte (spezifisches Gewicht): Boden	densitet: mark				
114.11	112	closeMatch	soil compaction	Bodenverdichtung	markpackning	maan tiivistyminen	compactage du sol		compacidad del suelo 		c_7163							compaction of soil		konsolidering											
114.11	113	closeMatch	specific gravity (soil)	Gewichtsverhältnis	specifik vikt	ominaispaino	poids spécifique		peso específico		c_7281								Spezifisches Gewicht: Boden												
114.12	114	closeMatch	soil moisture	Bodenfeuchtigkeit	markfuktighet	maankosteus	humidité du sol		humedad del suelo									Moisture relations (soil)	Feuchtigkeit (Boden)	fuktighet; relationer till: mark				relaciones de la humedad con el suelo 							
114.12	115	closeMatch	soil water	Bodenwasser	markvatten	maavesi	eau du sol		agua del suelo 									Water, soil	Wasser, Boden|Wasser, Beziehungen der, des ... zum: Bodens	jordvatten; vatten: bindning och rörelse i marken											
114.12	116	closeMatch	groundwater	Grundwasser	grundvatten	pohjavesi	eau souterraine		agua freática		c_3391							Soil water: groundwater	Bodenwasser: Grundwasser			Eau phréatique									
114.122	117	exactMatch	soil water content	Feuchtigkeitsgehalt des Bodens	vattenhalt i mark	maan vesipitoisuus	teneur en eau du sol		contenido de agua en el suelo		c_7208							moisture content (soil)	Bodenfeuchtigkeit: Feuchtigkeitsgehalt	markfuktighet, vattenhalt		humidité du sol		contenido de humedad del suelo							
114.123	118	closeMatch	hydraulic conductivity (soil)	Hydraulische Leitfähigkeit des Bodens	markens vattengenomsläpplighet	maan vedeläpäisykyky	conductivité hydraulique		conductividad hidráulica del suelo		c_25579													retención (agua del suelo)							
114.123	119	closeMatch	soil infiltration	Bodenfiltration	markfiltrering	maasuodatus	Infiltration (sol)		filtración en el suelo 		c_26789							Water, soil: filtration|Filtration in soil	Wasser, Boden: Filtration|Filtration im Boden	filtrering, mark|vatten: bindning och rörelse i marken, filtrering	suodatus maaperässä			agua del suelo, filtración 							
114.123	120	closeMatch	infiltration capacity (soil)	Infiltrationsvermögen des Bodens	markinfiltrationskapacitet	maan suodatuskyky			capacidad  de infiltración del suelo 									soil infiltration capacity		infiltrationskapacitet	imeytymiskyky										
114.123	121	closeMatch	permeability (soil)	Bodendurchlässigkeit	markpermeabilitet	maan läpäisevyys	perméabilité (sol)		permeabilidad del suelo 		c_5718							Permeability, soil	Durchlässigkeit des Bodens	permeabilitet i mark	läpäisevyys, maaperä										
114.123	122	closeMatch	porosity (soil)	Bodenporosität	markens porositet	maan huokoisuus	porosité du sol		porosidad del suelo 									Porosity, soil	Porosität, Boden	huokoisuus, maan	porositet i mark										
114.124	123	closeMatch	field capacity	Wasserkapazität	fältkapasitet	kenttäkapasiteetti	cpacité au champ		capacidad de campo		c_32445							Water-retaining capacity;soil water retention	Feldkapazität	vattenhållande förmåga				capacidad de retención de agua del suelo							
114.124	124	exactMatch	absorption (soil)	Bodenabsorption	markabsorption	maaperän absorptio	absorption (sol)		absorción (agua del suelo)		c_27	"For gastrointestinal absorption use <digestive disorders>; for the optical property use <absorbance>"@en						soil water absorption	Bodenwasserabsorption												
114.125	125	exactMatch	hygroscopicity (soil)	Hygroskopizität (Boden)	hygroskopicitet (mark)	hygroskooppisuus (maaperä)	Hygroscopicité (sol)		higroscopicidad (suelo)		c_28410							water retention				Rétention d'eau;Rétention hydrique									
114.13	126	closeMatch	soil air	Bodenluft	markluft	maaperäilma	air du sol		atmósfera del suelo 		c_7158							soil atmosphere; earth atmosphere; ground air	Bodenatmosphaere;Erdatmosphaere		maanilma	atmosphère du sol			gases in soil	Gase im Boden	gaser i marken				
114.13	127	closeMatch	soil aeration	Bodendurchlüftung	jordgenomluftning	maan tuuletus	aération du sol		aireación del suelo  																						
114.13	128	closeMatch	soil respiration	Bodenatmung	markandning	maahengitys	respiration du sol		respiración del suelo		c_33553												gases en el suelo								
114.14	129	closeMatch	soil consistence	Bodenbindigkeit	jordkonsistens	maan koostumus			consistencia del suelo 									soil homogeneity							consistence of soil	Festigkeit, Boden		maan homogeenisuus			
114.14	130	closeMatch	soil adhesion	Bindigkeit (des Bodens)	markadhesion	maaperän adheesio			adhesividad del suelo																						
114.14	131	closeMatch	soil structure	Bodenstruktur	jordstruktur	maan rakenne	structure du sol		estructura del suelo		c_7196									markstruktur		sol battant;battance									
114.15	132	exactMatch	soil texture	Bodentextur	jordtextur	maan tekstuuri	texture du sol		textura del suelo 		c_7199							soil cohesion	Kohäsion (des Bodens)	markkohesion	maaperän koheesio			cohesión del suelo 	physical analysis of soil|mechanical analysis of soil	Physikalische Bodenanalyse|Analyse, mechanische (Boden)|Bodenanalyse, mechanische					análisis físico del suelo |análisis mecânico del suelo
114.16	133	exactMatch	soil temperature	Bodentemperatur	marktemperatur	maan lämpötila	température du sol		temperatura del suelo 		c_7197							Temperature, soil	Temperatur: Boden	temperatur, mark											
114.17	134	exactMatch	soil electrical properties	Elektrische Bodeneigenschaften	elektriska markegenskaper	maan sähköominaisuudet			propiedades eléctricas del suelo																		elektriska egenskaper (mark)				
114.2	135	exactMatch	soil chemistry	Bodenchemie	markkemi	maakemia	chimie du sol		química del suelo		c_7161							Chemistry: soil	Chemie: Boden	kemi: mark	maaperäkemia				chemical analysis of soil	Bodenanalyse, chemische|Analyse, chemische: Boden	kemisk analys (mark)				análisis químico del suelo
114.22	136	exactMatch	soil chemicophysical properties	Physikochemische Bodeneigenschaft	kemisk-fysikaliska markegenskaper	maan kemiallis-fysikaaliset ominaisuudet	Propriété physicochimique du sol		Propiedades físico - químicas suelo		c_7182							soil physical properties;soil physicochemical properties	Bodenphysikalische Eigenschaft; Chemophysikalische Bodeneigenschaft			Propriété physique du sol		Propiedades físicas del suelo							
114.23	137	exactMatch	soil electro-chemical properties	Elektrochemische Bodeneigenschaften	elektrokemiska markegenskaper	maan elektrokemialliset ominasuudet			propiedades electroguímicas del suelo																electrochemical properties	elektrochemische Bodeneigenschaften	elektro-kemiska egenskaper				
114.23	138	closeMatch	ion exchange	Ionenaustausch	jonutbyte	ioninvaihto			intercambio de cationes del suelo 																						
114.231	139	exactMatch	buffering capacity (soil)	Pufferungsvermögen (des Bodens)	buffertkapacitet (mark)	maan puskurikapasiteetti	capacité tampon (sol)		Capacidad tampón													Pouvoir tampon (sol)		capacidad de amortiguamiento del suelo;soluciones reguladoras	buffer capacity of soil						
114.234	140	exactMatch	soil base exchange	Basenaustausch (des Bodens)	basutbyte (mark)	emäsvaihto (maaperä)			intercambio de bases																						
114.24	141	exactMatch	soil colloidal properties	Kolloidale Bodeneigenschaften	kolloidala markegenskaper	maan kolloidiominaisuudet	propriété colloïdale (sol)		propiedades coloidales del suelo 									colloidal properties		kolloidala egenskaper											
114.242	142	exactMatch	soil colloidal state	Kolloidaler Zustand (des Bodens)	kolloidtillstånd, mark	maan kolloiditila			estado coloidal del suelo 																						
114.243	143	exactMatch	soil adsorption	Adsorption im Boden	adsorption	adsorptio maaperässä			adsorción del suelo 		c_137							adsorption in soil	Bodenabsorption	markadsorption											
114.25	144	closeMatch	soil pH	pH (Boden)	pH (mark)	pH  (maaperä)	pH du sol		pH del suelo 		c_34901							soil acidity	Bodenazidität	markaciditet	maan happamuus			acidez del suelo  							
114.25	145	closeMatch	soil acidification	Bodenversauerung	markförsurning	maan happamoituminen	acidification (sol)		acidificación del suelo																						
114.25	146	closeMatch	soil reaction	Bodenreaktion	markreaktion	maan reaktio			reacción del suelo 																						
114.26	147	closeMatch	inorganic compounds	Anorganische Verbindung	oorganiska markbeståndsdelar	epäorgaaniset aineet	composé minéral		compuestos inorgánicos		c_3881							soil inorganic constituents	anorganische Bodenbestandteile					componentes inorgánicos del suelo							
114.261	148	closeMatch	nitrogen	Stickstoff	kväve	typpi	azote		nitrógeno		c_5192							nitrogen compounds in soil	Stickstoff Verbindungen im Boden	kväveföreningar i marken	typen yhdisteet maaperässä			compuestos nitrogenados del suelo 							
114.262	149	closeMatch	phosphorus	Phosphor	fosfor	fosfori	phosphore		fósforo		c_5804							phosphorus compounds in soil	Phosphorverbindungen im Boden	fosforföreningar i marken	fosforin yhdisteet maaperässä			compuestos de fósforo en el suelo 							
114.264	150	closeMatch	potassium	Kalium	kalium	kalium	potassium		potasio		c_6139							potassium compounds in soil	Kaliumverbindungen im Boden	kaliumföreningar i marken	kaliumyhdisteet maaperässä			compuestos de potasio en el suelo 							
114.265	151	closeMatch	sodium	Natrium	natrium	natrium	sodium		sodio		c_7145							sodium compounds in soil	Natriumverbindungen im Boden	natriumföreningar i marken	natriumyhdisteet maaperässä			compuestos de sodio en el suelo 							
114.267	152	closeMatch	calcium	Kalzium	kalcium	kalsium	calcium		calcio		c_1196							calcium compounds in soil	Kalziumverbindungen im Boden	kalciumföreningar i marken	kalsiumyhdisteet maaperässä			compuestos de cálcio en el suelo  							
114.27	153	closeMatch	soil organic matter	Organische Bodensubstanz	organisk material i mark	maaperän orgaaninen aines	matière organique du sol		Material orgánico del suelo		c_35657							SOM;soil organic constituents	Organische Bodenbestandteile	organiska markbeståndsdelar	maaperän orgaaniset yhdisteet			MOS;componentes orgánicos del suelo							
114.27	154	closeMatch	humus: incorporated	Humus	humus	humus	humus		humus: incorporación 		c_3693													Sustancias húmicas;Moder;Balance húmico;Humina							
114.28	155	closeMatch	soil solution	Bodenlösung	markvätska	maaneste	solution du sol		Soluciones del suelo		c_7192													disolución del suelo							
114.3	156	closeMatch	soil genesis	Pedogenese	jordmånsbildning	maannostuminen	pédogénèse		Génesis del suelo		c_7173							soil formation	Bodenbildung			génèse du sol		formación del suelo							
114.3	157	closeMatch	soil profile	Bodenprofil	markprofil	maannosprofiili	profil du sol		perfil del suelo		c_14402																				
